Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Zeeuwsch-Vlaanderen (CR),79500.0,10.5,24.4,46.5,14.0,4.6,2015,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),204500.0,8.8,23.5,46.0,16.1,5.6,2015,Overig Zeeland
West-Noord-Brabant (CR),476800.0,10.3,21.8,42.5,17.7,7.7,2015,West-Noord-Brabant
Midden-Noord-Brabant (CR),358700.0,10.0,22.3,42.3,17.7,7.6,2015,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),490500.0,9.6,22.7,41.5,17.6,8.6,2015,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),574100.0,9.9,20.9,40.4,18.8,9.9,2015,Zuidoost-Noord-Brabant
Noord-Limburg (CR),213400.0,10.7,23.7,43.8,15.8,6.0,2015,Noord-Limburg
Midden-Limburg (CR),180500.0,10.5,22.4,42.7,17.5,6.8,2015,Midden-Limburg
Zuid-Limburg (CR),466500.0,12.2,22.3,41.1,16.6,7.9,2015,Zuid-Limburg
Flevoland (CR),304600.0,10.4,21.4,45.0,16.9,6.3,2015,Flevoland
Oost-Groningen (CR),111700.0,12.7,23.7,47.6,12.4,3.5,2016,Oost-Groningen
Delfzijl en omgeving (CR),35300.0,9.9,21.6,50.4,13.9,4.1,2016,Delfzijl en omgeving
Overig Groningen (CR),306500.0,7.5,15.7,44.0,20.3,12.5,2016,Overig Groningen
Noord-Friesland (CR),244500.0,10.7,21.4,45.7,16.7,5.4,2016,Noord-Friesland
Zuidwest-Friesland (CR),100400.0,8.8,22.4,46.6,16.7,5.5,2016,Zuidwest-Friesland
Zuidoost-Friesland (CR),138800.0,9.2,22.0,45.7,17.4,5.8,2016,Zuidoost-Friesland
Noord-Drenthe (CR),141700.0,7.1,19.5,44.5,20.0,8.9,2016,Noord-Drenthe
Zuidoost-Drenthe (CR),127100.0,11.2,24.3,46.6,13.8,4.0,2016,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),97200.0,10.2,23.2,44.9,15.6,6.1,2016,Zuidwest-Drenthe
Noord-Overijssel (CR),270700.0,9.3,21.7,44.0,18.0,7.0,2016,Noord-Overijssel
Zuidwest-Overijssel (CR),115600.0,9.0,19.5,43.9,18.8,8.7,2016,Zuidwest-Overijssel
Twente (CR),469700.0,10.3,20.7,45.0,17.1,6.8,2016,Twente
Veluwe (CR),502800.0,9.9,21.9,42.7,17.8,7.8,2016,Veluwe
Achterhoek (CR),300000.0,9.2,22.5,45.4,16.8,6.2,2016,Achterhoek
Arnhem/Nijmegen (CR),560900.0,9.5,19.2,40.3,19.3,11.7,2016,Arnhem
Zuidwest-Gelderland (CR),180600.0,11.1,24.9,42.6,14.9,6.6,2016,Zuidwest-Gelderland
Utrecht (CR),966500.0,8.6,17.3,37.5,20.6,16.1,2016,Utrecht
Kop van Noord-Holland (CR),283700.0,10.2,22.9,46.4,15.4,5.1,2016,Kop van Noord-Holland
Alkmaar en omgeving (CR),183600.0,8.4,20.5,43.6,19.2,8.4,2016,Alkmaar en omgeving
IJmond (CR),147100.0,9.3,21.0,45.2,17.3,7.2,2016,IJmond
Agglomeratie Haarlem (CR),172300.0,8.9,16.4,35.1,21.7,17.9,2016,Agglomeratie Haarlem
Zaanstreek (CR),128000.0,11.1,20.8,45.0,16.1,7.0,2016,Zaanstreek
Groot-Amsterdam (CR),1049500.0,10.2,15.6,34.7,20.5,19.0,2016,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),183300.0,8.4,17.6,36.7,21.6,15.7,2016,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),320800.0,8.2,18.5,39.2,18.6,15.5,2016,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),643700.0,12.4,18.2,37.1,18.1,14.2,2016,Agglomeratie 's-Gravenhage
Delft en Westland (CR),175800.0,9.4,18.5,40.8,19.5,11.7,2016,Delft en Westland
Oost-Zuid-Holland (CR),242600.0,9.6,22.0,42.6,17.7,8.1,2016,Oost-Zuid-Holland
Groot-Rijnmond (CR),1075600.0,12.6,20.8,41.8,16.0,8.8,2016,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),298300.0,10.8,23.1,44.3,15.6,6.3,2016,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),79500.0,10.0,23.6,47.8,14.0,4.6,2016,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),204900.0,8.8,23.0,46.5,16.2,5.6,2016,Overig Zeeland
